code,name_x,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date,name_y,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc,pe,peg
600100,同方股份,1.67,413.79,,24.34,,495688.33,462.21,,08-30,同方股份,-1.329,11.14,11.26,11.26,11.11,11.29,22961833,1.04473,256688270,7.674,1.62363832335,3301783.43141,2448440.81313,6.67065868263,0.0161208793896
002157,正邦科技,0.91,9000.0,,17.7,,60969.57,9427.2,10转20,08-15,正邦科技,2.862,6.11,5.92,6.12,5.89,5.94,39098043,2.09577,235309704,11.75,1.18842857143,1425863.3107,1139862.4922,6.71428571429,0.000746031746032
600177,雅戈尔,1.31,0.77,,14.2,,307059.09,5.78,,08-31,雅戈尔,-0.518,9.61,9.66,9.67,9.59,9.66,10595757,0.29585,102021687,6.364,1.04169465649,3441770.90623,3441770.90623,7.3358778626,9.52711410727
600129,太极集团,2.26,435.86,,72.62,,96442.98,435.83,,08-20,太极集团,-0.059,17.07,17.17,17.27,16.75,17.08,4220155,0.98857,71782662,8.535,5.48505929204,728708.058,728708.058,7.55309734513,0.0173291821804
600826,兰生股份,1.68,66.34,,20.31,,70617.65,65.43,,08-20,兰生股份,-0.738,16.13,16.25,16.26,16.13,16.25,1660450,0.39474,26848252,8.065,1.95000178571,678496.010544,678496.010544,9.60119047619,0.144727019539
600015,华夏银行,0.92,5.75,11.54,8.02,6.92,982600.0,6.08,,08-11,华夏银行,-0.774,8.97,9.06,9.06,8.96,9.04,19962276,0.15568,179512214,4.875,0.78195,11501949.9277,11501949.9277,9.75,1.69565217391
000626,远大控股,1.44,42.03,,22.69,,31436.44,53.35,10派3.33转10,08-31,远大控股,-1.325,14.9,15.05,15.16,14.8,15.1,2951533,0.7295,44106248,19.867,2.34778472222,891965.46162,602846.55,10.3472222222,0.246186586301
000536,华映科技,0.51,1036.75,,13.31,,39767.05,1035.8,,08-12,华映科技,-0.734,5.41,5.44,5.47,5.38,5.45,6750821,0.33703,36506059,13.9,1.41190392157,1496423.74642,1083651.29105,10.6078431373,0.0102318236192
601166,兴业银行,1.49,2.76,15.88,9.46,1.46,2944100.0,6.12,,08-30,兴业银行,-0.587,16.95,17.05,17.1,16.85,17.05,75295959,0.39521,1273908493,6.119,1.07615436242,35212253.3229,32293710.7929,11.3758389262,4.12168077035
601166,兴业银行,1.49,2.76,15.88,9.46,1.46,2944100.0,6.12,,08-30,兴业银行,-0.587,16.95,17.05,17.1,16.85,17.05,75295959,0.39521,1273908493,6.119,1.07615436242,35212253.3229,32293710.7929,11.3758389262,4.12168077035
000625,长安汽车,1.18,8.26,,15.43,,549098.86,7.98,,08-30,长安汽车,-1.177,13.43,13.58,13.58,13.39,13.59,19714562,0.5242,264960889,6.132,1.75614322034,6449956.95027,5050863.27164,11.3813559322,1.37788812739
000625,长安汽车,1.18,8.26,,15.43,,549098.86,7.98,,08-30,长安汽车,-1.177,13.43,13.58,13.58,13.39,13.59,19714562,0.5242,264960889,6.132,1.75614322034,6449956.95027,5050863.27164,11.3813559322,1.37788812739
000957,中通客车,0.98,390.0,,12.78,,29183.11,504.73,,08-19,中通客车,-1.566,12.57,12.78,12.78,12.49,12.77,8068051,1.69142,101460063,12.697,1.63923061224,745280.247552,599587.323162,12.8265306122,0.0328885400314
600026,中远海能,0.45,492.52,,5.54,,182035.05,508.52,,08-30,中远海能,-0.645,6.16,6.17,6.19,6.14,6.2,8994692,0.32875,55409110,12.919,0.758364444444,2483732.24238,1685396.24238,13.6888888889,0.0277935695787
600026,中远海能,0.45,492.52,,5.54,,182035.05,508.52,,08-30,中远海能,-0.645,6.16,6.17,6.19,6.14,6.2,8994692,0.32875,55409110,12.919,0.758364444444,2483732.24238,1685396.24238,13.6888888889,0.0277935695787
000150,宜华健康,2.08,83296.0,,36.03,,93363.78,82412.04,,08-31,宜华健康,1.967,29.03,28.8,29.1,28.05,28.47,3724677,0.99238,107516021,17.464,5.02861009615,1299977.55793,1089581.3469,13.9567307692,0.000167555834245
300253,卫宁健康,0.53,394.77,2.71,26.23,-0.07,42345.27,624.16,,08-27,卫宁健康,-0.269,7.42,7.44,7.48,7.38,7.44,9079798,0.79235,67399589,11.57,3.6722,1189248.53215,850276.860496,14.0,0.0354636877169
