date,open,high,close,low,volume,amount
2015-05-27,16.1,16.1,16.1,16.1,23600.0,379960.0
2015-05-28,17.71,17.71,17.71,17.71,6881.0,121863.0
2015-05-29,19.48,19.48,19.48,19.48,7825.0,152431.0
2015-06-01,21.43,21.43,21.43,21.43,4500.0,96435.0
2015-06-02,23.57,23.57,23.57,23.57,5000.0,117850.0
2015-06-03,25.93,25.93,25.93,25.93,8252.0,213974.0
2015-06-04,28.52,28.52,28.52,28.52,31300.0,892676.0
2015-06-05,31.37,31.37,31.37,31.37,15000.0,470550.0
2015-06-08,34.51,34.51,34.51,34.51,24600.0,848946.0
2015-06-09,37.96,37.96,37.96,37.96,31100.0,1180556.0
2015-06-10,41.76,41.76,41.76,41.76,56400.0,2355264.0
2015-06-11,45.94,45.94,45.94,45.94,35500.0,1630870.0
2015-06-12,50.53,50.53,50.53,50.53,37900.0,1915087.0
2015-06-15,55.58,55.58,55.58,55.58,98294.0,5463181.0
2015-06-16,61.14,61.14,61.14,61.14,522300.0,31933422.0
2015-06-17,67.25,67.25,67.25,67.25,668342.0,44946000.0
2015-06-18,73.98,73.98,73.98,73.98,1986526.0,146963200.0
2015-06-19,67.02,80.1,68.17,66.58,32593596.0,2230480896.0
2015-06-23,65.11,68.17,65.42,61.4,17612268.0,1150351616.0
2015-06-24,68.04,71.96,69.44,66.0,22771760.0,1599856768.0
2015-06-25,66.5,74.18,67.75,63.0,20113044.0,1389808640.0
2015-06-26,65.01,72.78,68.96,63.0,18420176.0,1261220480.0
2015-07-15,62.06,62.06,62.06,62.06,1251200.0,77649472.0
2015-07-16,55.85,59.99,55.89,55.85,27448132.0,1546724864.0
2015-07-17,56.0,60.0,58.55,54.0,15328629.0,879268224.0
2015-07-20,57.0,60.94,57.82,56.9,11468025.0,671662848.0
2015-07-21,56.52,63.6,63.6,54.8,15374009.0,894730496.0
2015-07-22,63.0,65.28,61.39,60.7,12407937.0,781244224.0
2015-07-23,61.28,67.3,66.85,60.91,13536806.0,884079616.0
2015-07-24,67.29,72.94,70.91,67.29,16215583.0,1133793152.0
2015-07-27,69.22,76.9,63.83,63.82,18913806.0,1342162432.0
2015-07-28,59.01,68.0,62.5,57.53,13772139.0,854379520.0
2015-07-29,63.9,68.75,68.74,60.9,14683210.0,951207872.0
2015-07-30,67.0,70.0,64.87,63.0,13737231.0,928426688.0
2015-07-31,63.2,64.85,60.27,58.89,10073307.0,624293824.0
2015-08-03,60.25,61.98,56.94,54.55,11038619.0,640529024.0
2015-08-04,58.0,62.59,62.17,55.8,11052309.0,658511744.0
2015-08-05,62.0,63.0,59.25,58.8,10324115.0,630124480.0
2015-08-06,57.95,59.24,57.25,56.8,5772342.0,333099264.0
2015-08-07,58.5,60.0,59.0,58.01,6358771.0,375992608.0
2015-08-10,60.13,63.7,63.23,60.03,9417607.0,584336064.0
2015-08-11,63.0,65.71,61.67,60.7,10503272.0,662029760.0
2015-08-12,59.5,63.26,60.71,58.7,9668421.0,578599680.0
2015-08-13,59.89,66.5,66.05,59.5,12150278.0,763446400.0
2015-08-14,66.06,66.06,63.87,63.63,8163874.0,525803296.0
2015-08-17,64.4,65.98,65.32,62.35,6663073.0,429719040.0
2015-08-18,64.8,64.88,60.35,58.79,8134313.0,503865824.0
