date,open,high,close,low,volume,amount
2015-04-23,16.3,16.3,16.3,16.3,23100.0,376530.0
2015-04-24,17.93,17.93,17.93,17.93,12300.0,220539.0
2015-04-27,19.72,19.72,19.72,19.72,11800.0,232696.0
2015-04-28,21.69,21.69,21.69,21.69,22850.0,495617.0
2015-04-29,23.86,23.86,23.86,23.86,38000.0,906680.0
2015-04-30,26.25,26.25,26.25,26.25,36100.0,947625.0
2015-05-04,28.88,28.88,28.88,28.88,47300.0,1366024.0
2015-05-05,31.77,31.77,31.77,31.77,155200.0,4930704.0
2015-05-06,34.95,34.95,34.95,34.0,3242243.0,113260360.0
2015-05-07,34.0,34.0,31.46,31.46,9899585.0,320531744.0
2015-05-08,31.88,34.61,34.61,31.31,10106398.0,335944960.0
2015-05-11,35.2,38.07,38.07,35.01,7776527.0,288537632.0
2015-05-12,39.0,41.88,41.88,38.99,9268627.0,380764544.0
2015-05-13,42.01,46.07,46.07,42.01,7191183.0,320203296.0
2015-05-14,48.48,50.68,50.68,48.48,3947576.0,197769888.0
2015-05-15,55.01,55.75,55.75,53.65,1825125.0,101160208.0
2015-05-18,61.33,61.33,61.33,61.33,194874.0,11951622.0
2015-05-19,67.46,67.46,67.46,55.81,9500506.0,614411392.0
2015-05-20,71.99,74.21,74.21,67.46,4612039.0,332260800.0
2015-05-21,80.89,81.63,81.63,78.5,2037193.0,165588208.0
2015-05-22,89.79,89.79,89.79,85.0,1649101.0,147396784.0
2015-05-25,98.77,98.77,98.77,94.73,1737909.0,171063536.0
2015-05-26,108.65,108.65,108.65,108.65,142736.0,15508266.0
2015-05-27,119.52,119.52,119.52,119.52,93300.0,11151216.0
2015-05-28,131.47,131.47,107.57,107.57,1714000.0,213044240.0
2015-05-29,96.81,117.95,99.89,96.81,10953492.0,1120040576.0
2015-06-01,96.0,96.0,89.9,89.9,6182920.0,561982720.0
2015-06-02,84.99,85.02,84.67,80.91,9880793.0,811161728.0
2015-06-03,83.99,86.97,83.02,81.8,6222652.0,524090688.0
2015-06-04,80.0,80.96,75.09,74.72,5469118.0,420856640.0
2015-06-05,76.37,81.68,79.33,75.0,5699826.0,443751168.0
2015-06-08,78.0,84.8,82.87,76.0,6267679.0,508967456.0
2015-06-09,80.8,83.04,78.59,77.5,4172077.0,332440416.0
2015-06-10,75.55,82.56,80.85,75.2,4167039.0,334716576.0
2015-06-11,79.0,85.94,85.87,78.0,6093362.0,508352992.0
2015-06-12,86.1,89.98,88.03,82.18,7562736.0,656320384.0
2015-06-15,86.0,86.0,82.42,79.23,4307697.0,355562240.0
2015-06-16,80.5,88.5,86.15,79.53,4603321.0,395112224.0
2015-06-17,86.15,92.67,85.84,82.99,4728764.0,417554144.0
2015-06-18,83.0,83.0,77.5,77.26,3397660.0,274304224.0
2015-06-19,72.5,72.88,69.75,69.75,1649361.0,115853840.0
2015-06-23,63.5,68.88,65.85,62.78,2700777.0,175426784.0
2015-06-24,66.8,67.28,64.62,61.23,2707715.0,174809344.0
2015-06-25,64.62,64.62,61.87,61.58,2225588.0,139608736.0
2015-06-26,59.58,59.58,55.68,55.68,2240688.0,127920808.0
2015-06-29,57.19,57.2,50.11,50.11,1593228.0,82611264.0
2015-06-30,47.95,53.97,53.72,45.1,2263639.0,112173040.0
2015-07-01,52.49,56.88,48.43,48.35,2591181.0,139733008.0
2015-07-02,48.22,49.97,43.6,43.6,1829321.0,84602280.0
2015-07-03,42.6,45.29,39.36,39.3,1912343.0,79204728.0
2015-07-06,43.3,43.3,37.08,35.42,3177527.0,122494320.0
2015-07-07,35.6,36.0,33.37,33.37,1183224.0,40261856.0
2015-07-08,30.03,30.94,30.03,30.03,1740423.0,52383908.0
2015-07-09,29.2,33.03,33.03,29.2,2483293.0,80126704.0
2015-07-10,36.2,36.33,36.33,35.01,711000.0,25701040.0
2015-07-13,39.96,39.96,39.96,39.96,387500.0,15484500.0
2015-07-14,43.96,43.96,43.96,43.0,1399239.0,61498812.0
2015-07-15,47.8,47.8,41.77,40.2,4465185.0,198948720.0
2015-07-16,37.59,45.93,45.47,37.59,3181959.0,135983648.0
2015-07-17,45.66,50.02,50.02,44.01,2318454.0,110818200.0
2015-07-20,51.26,55.02,52.97,49.13,3627725.0,188820160.0
2015-07-21,51.18,58.27,58.27,48.66,3171672.0,173441376.0
2015-07-22,58.9,59.42,56.97,54.8,2671963.0,154389600.0
2015-07-23,56.68,61.66,58.81,55.2,2831594.0,166478704.0
2015-07-24,59.01,61.6,55.69,52.93,3658798.0,213285344.0
2015-07-27,53.11,56.32,50.12,50.12,2179805.0,115277552.0
2015-07-28,45.33,50.16,45.11,45.11,2308618.0,106650976.0
2015-07-29,45.22,49.62,49.62,42.01,2415641.0,110614096.0
2015-07-30,49.4,51.97,47.55,46.82,2715830.0,134893648.0
2015-07-31,44.93,49.99,47.04,44.93,1946131.0,92003680.0
2015-08-03,46.0,47.88,45.13,43.2,1993390.0,91277240.0
2015-08-04,44.69,49.1,49.06,44.1,2760456.0,128906800.0
2015-08-05,48.87,53.97,53.29,47.05,4140961.0,208124736.0
2015-08-06,51.3,52.9,49.97,49.51,2272920.0,115934200.0
2015-08-07,48.99,52.8,51.01,48.99,1908366.0,98344704.0
2015-08-10,51.7,54.66,53.36,51.01,2275830.0,120359088.0
2015-08-11,53.39,55.8,52.59,51.5,2778357.0,148262480.0
2015-08-12,51.93,52.42,50.23,50.0,1735156.0,88861752.0
2015-08-13,50.0,52.0,51.14,48.1,1292040.0,64618552.0
2015-08-14,51.25,51.97,51.3,50.13,1671387.0,85397360.0
2015-08-17,51.2,51.2,50.61,48.6,1283665.0,63806424.0
2015-08-18,48.96,50.9,45.55,45.55,1652154.0,79726480.0
2015-08-19,44.3,47.26,46.36,41.44,1586919.0,70475504.0
2015-08-20,45.8,46.86,46.37,43.18,1453255.0,65814344.0
2015-08-21,45.2,47.08,43.13,42.2,1093689.0,49715660.0
2015-08-24,40.61,40.65,38.82,38.82,464000.0,18203146.0
2015-08-25,34.94,36.25,34.94,34.94,904926.0,31864640.0
